term,android_pct,gynoid_pct,fat_lbs_log,fat_pct,lean_lbs,waist_cm,whr,weight_lbs_log
android_pct,,0.811697987758032,0.909459656744408,0.950475197959128,0.258943131627622,0.787622724569532,0.184502702713814,0.661897659375969
gynoid_pct,0.811697987758032,,0.813889048987574,0.907376623721669,0.121780712077918,0.567021565649558,-0.0567381470234236,0.529110823901082
fat_lbs_log,0.909459656744408,0.813889048987574,,0.933540826194078,0.53700834235674,0.846472097621479,0.179119708876899,0.878997056600543
fat_pct,0.950475197959128,0.907376623721669,0.933540826194078,,0.229635563608367,0.749031332109072,0.15552111378064,0.664367630114723
lean_lbs,0.258943131627622,0.121780712077918,0.53700834235674,0.229635563608367,,0.555148943810538,0.128387864643597,0.838118564476396
waist_cm,0.787622724569532,0.567021565649558,0.846472097621479,0.749031332109072,0.555148943810538,,0.320741253170393,0.820184358054288
whr,0.184502702713814,-0.0567381470234236,0.179119708876899,0.15552111378064,0.128387864643597,0.320741253170393,,0.17427755249387
weight_lbs_log,0.661897659375969,0.529110823901082,0.878997056600543,0.664367630114723,0.838118564476396,0.820184358054288,0.17427755249387,
