term,aopp_log,homa_ir_log,crp_ngml_log,a_amylase_log,cort_blood,cort_saliv_log
aopp_log,,0.274757357730629,0.0887432759206342,0.0396511580770148,-0.104006790823974,-0.118163464219777
homa_ir_log,0.274757357730629,,0.203603262848346,-0.142464661238959,-0.143383432697236,-0.0293262836610095
crp_ngml_log,0.0887432759206342,0.203603262848346,,-0.018669428469849,0.0656941437631399,-0.103989445415284
a_amylase_log,0.0396511580770148,-0.142464661238959,-0.018669428469849,,-0.00824955260016279,0.108075402282701
cort_blood,-0.104006790823974,-0.143383432697236,0.0656941437631399,-0.00824955260016279,,0.577316456462335
cort_saliv_log,-0.118163464219777,-0.0293262836610095,-0.103989445415284,0.108075402282701,0.577316456462335,
