term,tte_min,pushup,situp,sit_reach
tte_min,,0.514746723273697,0.375225236654501,0.286916314851316
pushup,0.514746723273697,,0.708408115656399,0.258678535351122
situp,0.375225236654501,0.708408115656399,,0.274993568581156
sit_reach,0.286916314851316,0.258678535351122,0.274993568581156,
